Question ID,Variant 1,Variant 2,Variant 3,Variant 4,Variant 5,Variant 6,Variant 7,Variant 8,Variant 9,Variant 10,# of correct per question,Topic,Difficulty Level
Q23,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q24,correct,fail,fail,correct,correct,correct,correct,fail,correct,correct,7,plane geometry,high school
Q25,correct,fail,fail,correct,correct,correct,fail,correct,fail,correct,6,arithmetic,elementary school
Q26,fail,fail,fail,correct,fail,fail,fail,fail,correct,fail,2,plane geometry,high school
Q27,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q28,fail,correct,fail,correct,correct,fail,fail,fail,fail,fail,3,plane geometry,high school
Q29,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,arithmetic,elementary school
Q30,correct,fail,correct,correct,fail,fail,fail,fail,correct,correct,5,statistics,elementary school
Q31,correct,correct,correct,correct,correct,correct,correct,fail,correct,correct,9,arithmetic,elementary school
Q32,correct,correct,fail,fail,correct,fail,correct,fail,fail,fail,4,plane geometry,high school
Q33,correct,correct,correct,correct,fail,correct,correct,correct,correct,correct,9,analytic geometry,undergraduate
Q34,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q35,fail,correct,correct,correct,correct,correct,correct,correct,correct,correct,9,arithmetic,elementary school
Q36,fail,correct,correct,correct,fail,fail,fail,fail,fail,fail,3,solid geometry,high school
Q37,correct,fail,correct,fail,correct,correct,correct,correct,fail,correct,7,statistics,elementary school
Q38,correct,correct,fail,fail,correct,correct,fail,fail,correct,fail,5,plane geometry,high school
Q39,fail,correct,fail,fail,fail,fail,correct,correct,fail,fail,3,statistics,undergraduate
Q40,correct,fail,fail,fail,fail,fail,fail,fail,fail,correct,2,algebra,high school
Q41,fail,correct,fail,fail,fail,correct,fail,correct,correct,fail,4,plane geometry,high school
Q42,fail,correct,fail,correct,fail,correct,fail,correct,correct,fail,5,graph theory,undergraduate
Q43,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q44,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q45,fail,fail,correct,correct,fail,correct,fail,correct,correct,fail,5,plane geometry,high school
Q46,correct,correct,fail,fail,fail,fail,fail,fail,fail,fail,2,analytic geometry,high school
Q47,fail,correct,fail,correct,fail,correct,fail,fail,fail,correct,4,analytic geometry,high school
Q48,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,statistics,elementary school
Q49,fail,fail,correct,fail,correct,correct,correct,fail,correct,fail,5,plane geometry,high school
Q50,fail,correct,correct,correct,correct,correct,correct,fail,fail,fail,6,analytic geometry,high school
Q51,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q52,correct,fail,correct,correct,correct,correct,correct,fail,correct,fail,7,analytic geometry,undergraduate
Q53,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q54,fail,fail,correct,correct,correct,fail,correct,correct,correct,correct,7,analytic geometry,high school
Q55,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,plane geometry,high school
Q56,correct,correct,fail,fail,fail,fail,fail,fail,fail,fail,2,analytic geometry,high school
Q57,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q58,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,analytic     geometry,high school
Q59,fail,fail,fail,correct,fail,fail,correct,fail,fail,fail,2,arithmetic,high school
Q60,fail,correct,correct,fail,fail,correct,fail,fail,fail,fail,3,solid geometry,high school
Q61,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q62,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,plane geometry,elementary school
Q63,fail,fail,correct,correct,correct,correct,fail,fail,fail,fail,4,algebra,high school
Q64,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,analytic geometry,undergraduate
Q65,correct,fail,correct,fail,correct,correct,correct,fail,correct,correct,7,plane geometry,high school
Q66,correct,fail,correct,correct,fail,correct,correct,fail,fail,correct,6,plane geometry,high school
Q67,fail,fail,fail,fail,correct,fail,fail,fail,correct,fail,2,plane geometry,high school
Q68,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,analytic geometry,high school
Q69,fail,fail,fail,fail,correct,fail,fail,fail,fail,correct,2,analytic geometry,high school
Q70,fail,fail,fail,correct,fail,fail,fail,correct,fail,fail,2,plane geometry,high school
Q71,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,elementary school
Q72,correct,correct,fail,correct,correct,correct,correct,fail,correct,correct,8,statistics,undergraduate
Q73,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q74,fail,fail,fail,fail,fail,fail,correct,correct,fail,correct,3,solid geometry,high school
Q75,correct,fail,correct,fail,correct,correct,correct,correct,correct,fail,7,analytic geometry,high school
Q76,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q77,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q78,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,analytic geometry,undergraduate
Q79,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q80,fail,correct,fail,fail,fail,fail,correct,fail,correct,fail,3,plane geometry,high school
Q81,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q82,correct,fail,correct,fail,correct,fail,fail,correct,correct,correct,6,algebra,undergraduate
Q83,fail,correct,correct,correct,correct,correct,fail,fail,fail,correct,6,plane geometry,high school
Q84,correct,correct,correct,fail,correct,correct,fail,correct,correct,fail,7,plane geometry,high school
Q85,fail,fail,fail,fail,fail,fail,fail,fail,correct,correct,2,plane geometry,high school
Q86,correct,fail,correct,correct,correct,fail,correct,correct,correct,correct,8,analytic geometry,undergraduate
Q87,correct,correct,correct,fail,fail,fail,fail,fail,correct,fail,4,analytic geometry,undergraduate
Q88,correct,fail,fail,correct,fail,fail,fail,correct,correct,fail,4,analytic geometry,undergraduate
Q89,fail,correct,fail,fail,correct,correct,correct,fail,fail,fail,4,algebra,undergraduate
Q90,correct,fail,correct,correct,fail,correct,correct,fail,fail,fail,5,algebra,undergraduate
Q91,fail,fail,correct,correct,fail,correct,fail,fail,fail,fail,3,arithmetic,high school
Q92,correct,fail,correct,correct,correct,correct,correct,correct,fail,fail,7,analytic geometry,high school
Q93,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q94,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q95,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q96,fail,fail,fail,fail,fail,fail,correct,fail,fail,fail,1,analytic geometry,high school
Q97,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q98,fail,correct,fail,fail,fail,correct,fail,fail,correct,fail,3,analytic geometry,high school
Q99,fail,fail,correct,fail,fail,fail,fail,fail,fail,correct,2,analytic geometry,high school
Q100,correct,correct,correct,fail,correct,correct,fail,correct,fail,fail,6,scientific figure,high school
Q101,fail,fail,fail,correct,fail,fail,correct,fail,fail,correct,3,analytic geometry,high school
Q102,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q103,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q104,correct,fail,fail,fail,fail,fail,fail,fail,correct,fail,2,arithmetic,elementary school
Q105,correct,fail,correct,fail,fail,correct,fail,fail,correct,correct,5,analytic geometry,high school
Q106,fail,correct,fail,fail,correct,correct,correct,correct,correct,fail,6,analytic geometry,undergraduate
Q107,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q108,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,high school
Q109,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,analytic geometry,high school
Q110,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q111,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q112,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q113,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q114,correct,correct,correct,correct,correct,correct,correct,correct,fail,correct,9,scientific figure,elementary school
Q115,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,puzzle test,elementary school
Q116,correct,fail,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q117,correct,correct,correct,correct,correct,correct,fail,fail,fail,correct,7,analytic geometry,undergraduate
Q118,fail,correct,fail,fail,fail,fail,fail,correct,fail,fail,2,analytic geometry,undergraduate
Q119,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q120,correct,correct,correct,correct,correct,correct,correct,correct,correct,fail,9,graph theory,undergraduate
Q121,fail,fail,fail,fail,fail,correct,correct,correct,fail,fail,3,algebra,high school
Q122,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q123,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q124,correct,fail,fail,correct,correct,fail,correct,correct,correct,fail,6,analytic geometry,undergraduate
Q125,fail,correct,correct,correct,fail,fail,fail,correct,fail,correct,5,analytic geometry,high school
Q126,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q127,correct,fail,correct,fail,fail,correct,fail,fail,correct,correct,5,plane geometry,high school
Q128,fail,fail,correct,fail,fail,correct,fail,correct,correct,fail,4,analytic geometry,high school
Q129,fail,correct,fail,fail,fail,correct,fail,fail,fail,correct,3,solid geometry,high school
Q130,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q131,fail,correct,fail,correct,fail,fail,fail,fail,correct,fail,3,analytic geometry,undergraduate
Q132,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q133,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q134,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q135,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,analytic geometry,high school
Q136,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q137,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,graph theory,undergraduate
Q138,fail,fail,fail,fail,fail,fail,correct,correct,fail,correct,3,analytic geometry,high school
Q139,correct,fail,fail,fail,fail,correct,fail,fail,fail,correct,3,analytic geometry,high school
Q140,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,analytic geometry,high school
Q141,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q142,fail,correct,correct,correct,correct,fail,fail,fail,correct,fail,5,graph theory,undergraduate
Q143,fail,fail,fail,fail,correct,correct,fail,fail,fail,fail,2,analytic geometry,undergraduate
Q144,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q145,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q146,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,high school
Q147,correct,fail,correct,correct,correct,fail,correct,correct,correct,correct,8,analytic geometry,high school
Q148,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,analytic geometry,high school
Q149,fail,fail,fail,correct,fail,correct,correct,correct,correct,correct,6,analytic geometry,high school
Q150,fail,correct,fail,fail,fail,fail,correct,fail,correct,correct,4,analytic geometry,high school
Q151,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q152,correct,fail,fail,correct,fail,fail,fail,fail,fail,fail,2,graph theory,undergraduate
Q153,correct,correct,fail,fail,fail,fail,correct,fail,fail,fail,3,plane geometry,high school
Q154,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q155,fail,fail,fail,fail,correct,fail,correct,fail,fail,correct,3,puzzle test,high school
Q156,fail,fail,fail,fail,fail,fail,fail,correct,fail,correct,2,puzzle test,high school
Q157,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q158,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q159,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q160,fail,correct,correct,correct,fail,fail,fail,fail,fail,correct,4,analytic geometry,high school
Q161,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,statistics,high school
Q162,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q163,fail,fail,fail,correct,correct,fail,correct,correct,fail,correct,5,analytic geometry,high school
Q164,fail,fail,fail,fail,fail,correct,correct,correct,fail,fail,3,analytic geometry,high school
Q165,fail,fail,fail,fail,correct,correct,correct,correct,fail,fail,4,analytic geometry,high school
Q166,fail,fail,fail,correct,fail,fail,fail,correct,fail,fail,2,analytic geometry,high school
Q167,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,plane geometry,high school
Q168,fail,fail,correct,correct,correct,fail,correct,fail,fail,fail,4,analytic geometry,high school
Q169,fail,correct,fail,correct,fail,fail,correct,correct,fail,fail,4,analytic geometry,high school
Q170,fail,correct,fail,fail,fail,fail,fail,fail,fail,correct,2,analytic geometry,high school
Q171,fail,correct,fail,fail,fail,fail,correct,correct,fail,fail,3,plane geometry,high school
Q172,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q173,correct,correct,fail,fail,fail,fail,fail,correct,fail,fail,3,plane geometry,high school
Q174,correct,fail,fail,correct,fail,correct,fail,fail,fail,fail,3,plane geometry,high school
Q175,fail,correct,fail,correct,correct,correct,fail,correct,correct,correct,7,analytic geometry,high school
Q176,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q177,fail,correct,fail,fail,fail,fail,correct,fail,fail,fail,2,analytic geometry,high school
Q178,correct,correct,correct,correct,fail,correct,fail,correct,correct,fail,7,plane geometry,high school
Q179,fail,fail,correct,fail,fail,fail,fail,fail,fail,fail,1,puzzle test,high school
Q180,fail,fail,fail,fail,fail,fail,correct,correct,fail,fail,2,puzzle test,high school
Q181,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q182,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q183,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q184,correct,correct,correct,fail,correct,correct,correct,correct,correct,correct,9,plane geometry,high school
Q185,fail,correct,fail,fail,fail,fail,fail,fail,fail,fail,1,scientific figure,elementary school
Q186,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,elementary school
Q187,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,solid geometry,high school
Q188,correct,correct,correct,correct,fail,correct,correct,correct,correct,fail,8,solid geometry,high school
Q189,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q190,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q191,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q192,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q193,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,high school
Q194,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q195,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q196,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,high school
Q197,fail,fail,correct,fail,fail,fail,correct,correct,fail,fail,3,plane geometry,high school
Q198,fail,fail,fail,fail,correct,correct,correct,fail,correct,correct,5,analytic geometry,high school
Q199,correct,correct,fail,fail,correct,correct,correct,fail,fail,fail,5,analytic geometry,high school
Q200,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q201,fail,fail,correct,fail,fail,correct,fail,correct,fail,fail,3,arithmetic,undergraduate
Q202,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,arithmetic,undergraduate
Q203,fail,fail,correct,correct,fail,fail,fail,fail,fail,correct,3,analytic geometry,undergraduate
Q204,fail,correct,fail,fail,fail,fail,correct,fail,fail,fail,2,analytic geometry,high school
Q205,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q206,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q207,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q208,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,plane geometry,high school
Q209,correct,fail,fail,fail,fail,fail,fail,fail,correct,fail,2,plane geometry,high school
Q210,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q211,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,plane geometry,high school
Q212,fail,fail,correct,correct,fail,fail,correct,fail,fail,fail,3,plane geometry,high school
Q213,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,algebra,undergraduate
Q214,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q215,correct,fail,correct,correct,correct,fail,fail,fail,fail,fail,4,plane geometry,high school
Q216,correct,correct,correct,fail,correct,fail,correct,correct,correct,correct,8,analytic geometry,high school
Q217,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,undergraduate
Q218,fail,fail,fail,fail,fail,fail,fail,correct,fail,correct,2,statistics,undergraduate
Q219,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,statistics,undergraduate
Q220,correct,correct,correct,correct,correct,correct,correct,fail,fail,fail,7,graph theory,undergraduate
Q221,correct,fail,fail,correct,correct,fail,fail,fail,fail,fail,3,graph theory,undergraduate
Q222,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q223,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q224,fail,correct,correct,fail,fail,correct,correct,fail,correct,fail,5,graph theory,undergraduate
Q225,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q226,correct,correct,correct,correct,correct,correct,correct,correct,correct,correct,10,graph theory,undergraduate
Q227,correct,fail,fail,fail,correct,fail,correct,fail,fail,fail,3,graph theory,undergraduate
Q228,correct,fail,correct,correct,correct,fail,correct,correct,correct,fail,7,graph theory,undergraduate
Q229,correct,fail,fail,fail,correct,correct,correct,fail,fail,correct,5,graph theory,undergraduate
Q230,correct,correct,correct,correct,fail,fail,correct,fail,correct,correct,7,graph theory,undergraduate
Q231,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,graph theory,undergraduate
Q232,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q233,fail,fail,fail,correct,correct,fail,correct,fail,fail,fail,3,graph theory,undergraduate
Q234,correct,fail,correct,fail,correct,correct,fail,fail,fail,fail,4,graph theory,undergraduate
Q235,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,graph theory,undergraduate
Q236,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q237,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q238,fail,correct,fail,fail,fail,fail,fail,correct,fail,fail,2,graph theory,undergraduate
Q239,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,graph theory,undergraduate
Q240,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q241,correct,fail,correct,correct,correct,correct,correct,correct,correct,correct,9,graph theory,undergraduate
Q242,fail,correct,correct,correct,fail,fail,correct,correct,fail,fail,5,graph theory,undergraduate
Q243,fail,correct,fail,fail,fail,fail,correct,fail,fail,fail,2,graph theory,undergraduate
Q244,correct,correct,correct,correct,fail,correct,fail,fail,fail,fail,5,graph theory,undergraduate
Q245,correct,correct,fail,correct,correct,correct,correct,fail,correct,correct,8,graph theory,undergraduate
Q246,correct,fail,fail,fail,correct,fail,fail,fail,fail,fail,2,graph theory,undergraduate
Q247,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q248,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q249,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q250,fail,fail,fail,fail,correct,correct,fail,fail,correct,fail,3,graph theory,undergraduate
Q251,correct,fail,fail,fail,correct,correct,correct,correct,correct,fail,6,graph theory,undergraduate
Q252,correct,correct,correct,correct,correct,correct,correct,fail,correct,fail,8,graph theory,undergraduate
Q253,correct,correct,correct,correct,fail,correct,correct,correct,fail,fail,7,graph theory,undergraduate
Q254,correct,fail,correct,correct,correct,fail,correct,correct,fail,correct,7,graph theory,undergraduate
Q255,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q256,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q257,fail,fail,fail,fail,fail,fail,fail,correct,fail,fail,1,graph theory,undergraduate
Q258,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q259,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,graph theory,undergraduate
Q260,fail,correct,correct,fail,fail,correct,correct,fail,correct,correct,6,graph theory,undergraduate
Q261,correct,correct,correct,fail,fail,correct,fail,fail,fail,fail,4,scientific figure,high school
Q262,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,scientific figure,high school
Q263,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q264,fail,fail,fail,fail,fail,fail,fail,fail,correct,correct,2,scientific figure,high school
Q265,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q266,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q267,correct,fail,correct,fail,fail,fail,correct,correct,correct,correct,6,scientific figure,high school
Q268,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,scientific figure,high school
Q269,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q270,correct,fail,fail,correct,fail,fail,correct,correct,fail,fail,4,scientific figure,high school
Q271,fail,correct,correct,fail,correct,correct,correct,fail,correct,correct,7,scientific figure,high school
Q272,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,scientific figure,high school
Q273,fail,fail,fail,fail,fail,fail,fail,fail,correct,fail,1,scientific figure,high school
Q274,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q275,fail,fail,fail,fail,correct,fail,fail,fail,fail,fail,1,scientific figure,high school
Q276,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q277,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,high school
Q278,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,scientific figure,undergraduate
Q279,fail,fail,correct,correct,correct,fail,fail,correct,fail,correct,5,scientific figure,high school
Q280,fail,correct,fail,correct,correct,fail,fail,fail,correct,correct,5,scientific figure,high school
Q281,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,plane geometry,high school
Q282,fail,correct,fail,fail,fail,correct,fail,fail,correct,correct,4,puzzle test,high school
Q283,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q284,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q285,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q286,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,puzzle test,elementary school
Q287,fail,fail,correct,fail,fail,fail,fail,correct,correct,correct,4,plane geometry,elementary school
Q288,correct,fail,correct,fail,fail,fail,fail,fail,fail,fail,2,statistics,high school
Q289,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q290,fail,fail,fail,fail,fail,correct,fail,fail,fail,fail,1,statistics,high school
Q291,fail,fail,fail,correct,fail,fail,correct,fail,fail,fail,2,statistics,high school
Q292,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,high school
Q293,fail,fail,fail,fail,correct,fail,correct,fail,correct,fail,3,statistics,high school
Q294,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,statistics,undergraduate
Q295,fail,fail,fail,correct,correct,correct,fail,fail,fail,fail,3,statistics,undergraduate
Q296,fail,fail,fail,fail,fail,fail,fail,fail,fail,fail,0,analytic geometry,undergraduate
Q297,fail,fail,fail,correct,fail,fail,fail,fail,fail,fail,1,analytic geometry,undergraduate
Q298,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,analytic geometry,undergraduate
Q299,correct,fail,fail,fail,fail,fail,correct,fail,fail,fail,2,analytic geometry,undergraduate
Q300,fail,fail,fail,fail,fail,fail,fail,fail,fail,correct,1,analytic geometry,undergraduate
